variant,recovery_time,rolling_recovery_time,final_boundary_fraction,final_transfer_efficiency,final_edge_bulk_ratio,final_coherence
full_law,0.0,0.0,0.6867280330595044,0.5134279094435336,0.9961312891155076,0.9999871748755371
principal_branch,,,0.47795854105147934,0.3087009193948943,0.9927824171640818,0.9999998046344772
no_topology_feedback,,,0.47823309916655643,0.30852369801971774,0.9949603605798577,0.9999998627416787
fixed_ruler,0.0,0.0,0.7247996931522591,0.5844563653139799,1.0,0.9999999673083618
