time,full_law_boundary_fraction,full_law_transfer_efficiency,full_law_edge_bulk_ratio,full_law_coherence,principal_branch_boundary_fraction,principal_branch_transfer_efficiency,principal_branch_edge_bulk_ratio,principal_branch_coherence,no_topology_feedback_boundary_fraction,no_topology_feedback_transfer_efficiency,no_topology_feedback_edge_bulk_ratio,no_topology_feedback_coherence,fixed_ruler_boundary_fraction,fixed_ruler_transfer_efficiency,fixed_ruler_edge_bulk_ratio,fixed_ruler_coherence
0.0,0.6027803629003443,6.792159357484514,1.1278088191223419,1.0,0.48317113461429756,5.220256173365169,1.0502571427978495,1.0,0.48317113461429756,5.220256173365169,1.0503541030769024,1.0,0.602839007547851,6.793162285261658,1.0875251771435939,1.0
0.03,0.6277858962736315,7.3213997519475695,1.2190946880160807,1.0,0.49068874247253125,5.350345335724742,1.0737219145293526,0.9999999999999998,0.4907118135517044,5.350856978832131,1.0740692638691764,1.0,0.6188220051414874,7.149152883595516,1.1445014064521224,1.0
0.06,0.6463424528533042,7.759293462579462,1.282810355501849,1.0,0.4962117397250608,5.4446162849425,1.085161715233204,1.0,0.49629259717288404,5.447109255270194,1.085973828926861,1.0,0.6311083547819384,7.437538565758167,1.1813655378693888,1.0
0.09,0.6581744034531333,8.04382461598576,1.31236236818445,0.9999999999999998,0.4988611653660959,5.480009315757564,1.082083138963956,0.9999999999999998,0.49904818965729314,5.486773363585859,1.0836260565540976,0.9999999999999998,0.6386151071599692,7.604553580130712,1.1922524729966995,0.9999999999999998
0.12,0.6633547984294543,8.131860176459432,1.3042697905497442,1.0,0.49815092020577867,5.441700606818321,1.0641868067228901,1.0,0.49850713159298915,5.4556937858631125,1.0667601392336947,1.0,0.6407701714976408,7.612796697962824,1.1747383248366314,1.0
0.15,0.6618704480768517,8.003295611764235,1.2580595093054185,1.0,0.4939819349194923,5.325836578611656,1.0334887250285356,1.0,0.4945856564525741,5.350437528121708,1.0374037628153936,1.0,0.6372897181835966,7.448179927923472,1.1302349213758667,1.0
0.18,0.6534560714466364,7.663775142511652,1.1764780585134382,1.0,0.48666711701753684,5.140379230922416,0.994184767166326,1.0,0.487611746254652,5.179113727200873,0.9997469999911823,1.0,0.6281126765994187,7.123362761254601,1.0641240523239341,1.0
0.21,0.6375638352563969,7.1441088808541835,1.0660318522110985,1.0,0.4769871266733091,4.903592026050443,0.9556427711866218,1.0,0.4783791408787296,4.959935838577106,0.9596822354515939,1.0,0.6135143840191126,6.676172945192321,0.9855083535615811,1.0
0.24,0.6134908197588564,6.496375432928693,0.9379915247442825,1.0,0.4671335908629385,4.648208068053274,0.9266878529423637,1.0,0.4681836915447686,4.717684662817435,0.9239395575765397,1.0,0.5944292820456292,6.1631532235615,0.9063541825743242,1.0
0.27,0.5809252198185478,5.789130340581658,0.8099933819033328,1.0,0.45948331731045355,4.404286643294785,0.9100153765399687,1.0,0.45874575111831656,4.478841224784167,0.8988426059517398,1.0,0.5729623397330014,5.649846658154247,0.8397381230217386,1.0
0.3,0.5417088965229911,5.106486759554219,0.7070265429685311,0.9999999999999999,0.4549777380842225,4.200849929342538,0.908615224220721,0.9999999999999999,0.4519161319626877,4.266579822570446,0.8889149454608035,0.9999999999999999,0.5527994266343655,5.1994697328899395,0.7971131322802073,0.9999999999999999
0.32999999999999996,0.5036927147168456,4.550170571322639,0.6562945935502212,1.0,0.45459593883664634,4.054950137114417,0.9241152948951207,1.0,0.44916671068272573,4.096879885296844,0.8957607794336458,1.0,0.5387257096340303,4.8606934991299005,0.7853432884509873,1.0
0.36,0.48226484552782084,4.218196018230089,0.672675524388371,0.9999999999999998,0.45879297437288113,3.9719006226625684,0.9548104350927719,1.0,0.4510655760879299,3.9766299865991837,0.9176229844341746,0.9999999999999998,0.5346618298731504,4.657311587144622,0.8050346779307951,0.9999999999999998
0.39,0.4891520395000161,4.149177160933837,0.7501522742105702,0.9999999999999999,0.46691670096539195,3.9491918084332194,0.9958730452134101,0.9999999999999999,0.45704290448189105,3.9038187683476218,0.9497519975832772,0.9999999999999999,0.5414163203866104,4.5855556290962145,0.8508413246562021,0.9999999999999999
0.42,0.5197929923372508,4.3032110355654645,0.8680457444239253,0.9999999999999998,0.47741042277655416,3.977532920053799,1.0402448500639463,0.9999999999999999,0.4655947682767056,3.869169958086899,0.985432376941903,0.9999999999999998,0.5563083998842084,4.619741030064986,0.9129907159050605,0.9999999999999998
0.44999999999999996,0.5594501495524061,4.594342989869481,1.0002370851950675,1.0,0.48829507628453095,4.042276187013228,1.0799871737060665,1.0000000000000002,0.4747816313954734,3.8584196240323885,1.0173759035033665,1.0,0.5748598757934638,4.720861669906636,0.9793155687140485,1.0
0.48,0.5961158834167528,4.928736805305812,1.122906621354741,1.0,0.497666216015936,4.12507080971327,1.1077831060422705,1.0,0.4827424328858983,3.8547843381296296,1.0391485216378535,1.0,0.5928366951349197,4.8445647713926,1.0375496713537584,1.0
0.51,0.624646250120766,5.230457818853233,1.218826199331661,0.9999999999999999,0.5040190254140324,4.205859809323013,1.1182521300448,1.0,0.4880316066336662,3.84148286361854,1.0463124859238564,0.9999999999999999,0.6072875507600339,4.947690476259633,1.0774671593352916,0.9999999999999999
0.54,0.644107387914031,5.445943116945723,1.2776203598794136,1.0000000000000002,0.5063702801713038,4.265284701385004,1.1088059289271874,0.9999999999999999,0.48974836094147944,3.804187491857691,1.037068934677248,1.0000000000000002,0.6165603076865834,4.993440530928023,1.0923547938875948,1.0000000000000002
